id,type,title,alt_text,area,system,collection,color,color_source,chip_description,shot_type,setting,market,date,quality,website_ready,tags,drive_path,web_copy
8a90a40ac249,photo,Basement with tan full flake floor,"Basement floor with tan full flake coating and glossy finish, white walls and exposed framing in background",basement,full_flake,,,,"fine tan and beige chips, small size, uniform speckled look",finished,residential,,,3,False,basement; full flake; tan chips; beige floor; glossy finish; interior floor; finished floor,Basements (Full Broadcast)/0AEC180F-C5C0-44F0-9D1B-02B82A1A577A.JPG,m/8a90a40ac249.jpg
4eda804a9e93,photo,Basement with gray full flake floor,"Finished basement with gray full flake floor coating, fireplace, floor drain and cabinets",basement,full_flake,,Silverado,duplicate,"small gray, white and black chips on a gray base",finished,residential,,,4,True,basement; full flake; gray floor; fireplace; floor drain; white cabinets; finished; gray white black chips; residential,Basements (Full Broadcast)/2CDEA7D8-CE80-40F3-AB66-79AC7B295FD3.JPG,m/4eda804a9e93.jpg
2873d5f54f1c,photo,Basement with smooth gray coated floor,"Basement with a smooth glossy light gray solid color floor coating and block walls, shown as solid color basement floor.",basement,full_flake,,,,"smooth plain light gray surface, no visible chips",finished,residential,,,4,True,basement; solid color floor; light gray coating; glossy finish; block walls; open truss ceiling; empty room,Basements (Full Broadcast)/5A61780A-6D14-4A24-B8DE-4C73C2B2E98B.JPG,m/2873d5f54f1c.jpg
41d9938161a3,photo,Basement with gray full flake floor,Basement with unfinished drywall and a gray full flake epoxy floor with white and black chips,basement,full_flake,,,,"white, gray and black chips on a light gray base, small size",finished,residential,,,3,False,basement; full flake; gray chips; white chips; black chips; unfinished drywall; renovation; glossy floor,Basements (Full Broadcast)/98F5CE7C-749E-4F76-B8BB-D9CE2BFB31F1.JPG,m/41d9938161a3.jpg
f42e4ceea716,photo,Basement with Black Canyon full flake floor,"Low angle view of a full flake basement floor with black, white and pinkish tan chips near a furnace and water heater",basement,full_flake,,Black Canyon,folder,"black, white and pinkish tan chips, small to medium size",finished,residential,,,4,True,basement; full flake; black canyon; black chips; tan chips; low angle; furnace; water heater; finished floor; residential,Basements (Full Broadcast)/Black Canyon/IMG_4984.JPG,m/f42e4ceea716.jpg
e0871709f4cc,photo,Basement with tan full flake floor,"Basement room with a tan and brown full flake floor coating, white walls and wood paneling",basement,full_flake,,,,"tan, brown and gray chips, small to medium size",finished,residential,,,3,False,basement; full flake; tan chips; brown chips; wood paneling; white walls; finished floor; interior,Basements (Full Broadcast)/C3E5D1E1-EE6D-43CF-97A9-74E4BC300516.JPG,m/e0871709f4cc.jpg
71cad048e551,photo,Basement with warm tan full flake floor,"Basement with glossy tan and brown full flake floor coating, storage shelves and water heater in background",basement,full_flake,,,,"warm tan and brown chips with small black accents, fine to medium size",finished,residential,,,4,False,basement; full flake; tan chips; brown chips; glossy floor; storage shelves; water heater; finished floor,Basements (Full Broadcast)/C504DF31-450E-4696-85D2-CC67256B450B.JPG,m/71cad048e551.jpg
a74dd216178a,photo,Basement with cream and brown full flake floor,"Finished basement with full flake floor in cream, tan, brown and black chips, dark wainscoting and wall signs",basement,full_flake,Bagari Stone Effects,Cambridge,folder,"cream, tan, brown and black chips, medium size, some amber chips",finished,residential,,,4,True,basement; full flake; tan chips; brown chips; black chips; wainscoting; man cave; finished floor; low angle; wall decor,Basements (Full Broadcast)/Cambridge/Cambridge1.JPG,m/a74dd216178a.jpg
a294248fc0cf,photo,Basement bar area with light tan flake floor,Basement bar with black stools on a light tan full flake floor coating,basement,full_flake,Vintage Mica,Desert Edge,folder,"light cream and tan chips with small black and gray specks, fine to medium size",finished,residential,,2019-07-11,4,True,basement; full flake; bar stools; light tan floor; cream chips; finished floor; basement bar; residential,Basements (Full Broadcast)/Desert Edge/Desertsedge2.jpg,m/a294248fc0cf.jpg
83cbf8078539,photo,Basement with tan full flake floor,"Finished basement floor with tan, brown and black full flake coating and glossy clear topcoat, full flake basement floor",basement,full_flake,,,,"tan base with brown, black and white chips, small to medium size",finished,residential,,,3,False,basement; full flake; tan chips; brown chips; glossy; finished floor; residential; floor drain,Basements (Full Broadcast)/F13729DC-3645-4C23-98E5-F8CFB5971A53.JPG,m/83cbf8078539.jpg
